"Scenario","ID","owner_id","org_ids","instrument_agent_id","instrument_device_id","start_agent","iai/name","iai/description","iai/svr_addr","iai/cmd_port","iai/evt_port","iai/comms_method","iai/comms_device_address","iai/comms_device_port","iai/comms_server_address","iai/comms_server_port","iai/driver_module","iai/driver_class","iai/process_type","iai/port_agent_work_dir"
"R2_DEMO","IAI3","USER_1","MF_3","IA2","ID3","FALSE","CTD Simulator 1 Demo Agent Instance",,"localhost",5560,5561,"ethernet","sim1",4001,"localhost",8890,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","IAI4","USER_1","MF_3","IA2","ID4","FALSE","CTD Simulator 2 Demo Agent Instance",,"localhost",5562,5563,"ethernet","sim1",4002,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent1","USER_1","MF_3","IA2","GumDevice1","FALSE","Gumstix Test Agent 1",,"localhost",5564,5565,"ethernet","sim2",4001,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent2","USER_1","MF_3","IA2","GumDevice2","FALSE","Gumstix Test Agent 2",,"localhost",5566,5567,"ethernet","sim2",4002,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent3","USER_1","MF_3","IA2","GumDevice3","FALSE","Gumstix Test Agent 3",,"localhost",5568,5569,"ethernet","sim3",4001,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent4","USER_1","MF_3","IA2","GumDevice4","FALSE","Gumstix Test Agent 4",,"localhost",5570,5571,"ethernet","sim3",4002,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent5","USER_1","MF_3","IA2","GumDevice5","FALSE","Gumstix Test Agent 5",,"localhost",5572,5573,"ethernet","sim4",4001,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent6","USER_1","MF_3","IA2","GumDevice6","FALSE","Gumstix Test Agent 6",,"localhost",5574,5575,"ethernet","sim4",4002,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent7","USER_1","MF_3","IA2","GumDevice7","FALSE","Gumstix Test Agent 7",,"localhost",5576,5577,"ethernet","sim5",4001,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent8","USER_1","MF_3","IA2","GumDevice8","FALSE","Gumstix Test Agent 8",,"localhost",5578,5579,"ethernet","sim5",4002,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent9","USER_1","MF_3","IA2","GumDevice9","FALSE","Gumstix Test Agent 9",,"localhost",5580,5581,"ethernet","sim6",4001,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent10","USER_1","MF_3","IA2","GumDevice10","FALSE","Gumstix Test Agent 10",,"localhost",5582,5583,"ethernet","sim6",4002,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent11","USER_1","MF_3","IA2","GumDevice11","FALSE","Gumstix Test Agent 11",,"localhost",5584,5585,"ethernet","sim7",4001,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent12","USER_1","MF_3","IA2","GumDevice12","FALSE","Gumstix Test Agent 12",,"localhost",5586,5587,"ethernet","sim7",4002,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent13","USER_1","MF_3","IA2","GumDevice13","FALSE","Gumstix Test Agent 13",,"localhost",5588,5589,"ethernet","sim8",4001,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent14","USER_1","MF_3","IA2","GumDevice14","FALSE","Gumstix Test Agent 14",,"localhost",5590,5591,"ethernet","sim8",4002,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent15","USER_1","MF_3","IA2","GumDevice15","FALSE","Gumstix Test Agent 15",,"localhost",5592,5593,"ethernet","sim9",4001,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent16","USER_1","MF_3","IA2","GumDevice16","FALSE","Gumstix Test Agent 16",,"localhost",5594,5595,"ethernet","sim9",4002,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent17","USER_1","MF_3","IA2","GumDevice17","FALSE","Gumstix Test Agent 17",,"localhost",5596,5597,"ethernet","sim10",4001,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent18","USER_1","MF_3","IA2","GumDevice18","FALSE","Gumstix Test Agent 18",,"localhost",5598,5599,"ethernet","sim10",4002,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent19","USER_1","MF_3","IA2","GumDevice19","FALSE","Gumstix Test Agent 19",,"localhost",5600,5601,"ethernet","sim11",4001,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent20","USER_1","MF_3","IA2","GumDevice20","FALSE","Gumstix Test Agent 20",,"localhost",5602,5603,"ethernet","sim11",4002,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent21","USER_1","MF_3","IA2","GumDevice21","FALSE","Gumstix Test Agent 21",,"localhost",5604,5605,"ethernet","sim12",4001,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent22","USER_1","MF_3","IA2","GumDevice22","FALSE","Gumstix Test Agent 22",,"localhost",5606,5607,"ethernet","sim12",4002,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent23","USER_1","MF_3","IA2","GumDevice23","FALSE","Gumstix Test Agent 23",,"localhost",5608,5609,"ethernet","sim13",4001,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent24","USER_1","MF_3","IA2","GumDevice24","FALSE","Gumstix Test Agent 24",,"localhost",5610,5611,"ethernet","sim13",4002,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent25","USER_1","MF_3","IA2","GumDevice25","FALSE","Gumstix Test Agent 25",,"localhost",5612,5613,"ethernet","sim14",4001,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent26","USER_1","MF_3","IA2","GumDevice26","FALSE","Gumstix Test Agent 26",,"localhost",5614,5615,"ethernet","sim14",4002,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent27","USER_1","MF_3","IA2","GumDevice27","FALSE","Gumstix Test Agent 27",,"localhost",5616,5617,"ethernet","sim15",4001,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent28","USER_1","MF_3","IA2","GumDevice28","FALSE","Gumstix Test Agent 28",,"localhost",5618,5619,"ethernet","sim15",4002,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent29","USER_1","MF_3","IA2","GumDevice29","FALSE","Gumstix Test Agent 29",,"localhost",5620,5621,"ethernet","sim16",4001,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent30","USER_1","MF_3","IA2","GumDevice30","FALSE","Gumstix Test Agent 30",,"localhost",5622,5623,"ethernet","sim16",4002,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent31","USER_1","MF_3","IA2","GumDevice31","FALSE","Gumstix Test Agent 31",,"localhost",5624,5625,"ethernet","sim17",4001,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent32","USER_1","MF_3","IA2","GumDevice32","FALSE","Gumstix Test Agent 32",,"localhost",5626,5627,"ethernet","sim17",4002,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent33","USER_1","MF_3","IA2","GumDevice33","FALSE","Gumstix Test Agent 33",,"localhost",5628,5629,"ethernet","sim18",4001,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent34","USER_1","MF_3","IA2","GumDevice34","FALSE","Gumstix Test Agent 34",,"localhost",5630,5631,"ethernet","sim18",4002,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent35","USER_1","MF_3","IA2","GumDevice35","FALSE","Gumstix Test Agent 35",,"localhost",5632,5633,"ethernet","sim19",4001,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent36","USER_1","MF_3","IA2","GumDevice36","FALSE","Gumstix Test Agent 36",,"localhost",5634,5635,"ethernet","sim19",4002,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent37","USER_1","MF_3","IA2","GumDevice37","FALSE","Gumstix Test Agent 37",,"localhost",5636,5637,"ethernet","sim20",4001,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
"R2_DEMO","GumAgent38","USER_1","MF_3","IA2","GumDevice38","FALSE","Gumstix Test Agent 38",,"localhost",5638,5639,"ethernet","sim20",4002,"localhost",8888,"mi.instrument.seabird.sbe37smb.ooicore.driver","SBE37Driver","ZMQPyClassDriverLauncher","/tmp/"
